DATE,DEPTH,LATITUDE,LONGITUDE,SALINITY,TEMPERATURE,CPHL,Oa01_radiance,Oa02_radiance,Oa03_radiance,Oa04_radiance,Oa05_radiance,Oa06_radiance,Oa07_radiance,Oa08_radiance,Oa09_radiance,Oa10_radiance,Oa11_radiance,Oa12_radiance,Oa13_radiance,Oa14_radiance,Oa15_radiance,Oa16_radiance,Oa17_radiance,Oa18_radiance,Oa19_radiance,Oa20_radiance,Oa21_radiance
7/27/2017,0.000248626,-21.01209,-26.0598,36.90700175,22.61500107,0.131000006,0.9065225,0.9237237,0.7410341,0.5299108,0.403812,0.3335526,0.16704059,0.14024624,0.1521648,0.1160067,0.08781799,0.0791956,0.02249052,0.043256,0.04741011,0.0530267,0.03451028,0.03849734,0.02514235,0.00652756,0.0162059
8/6/2017,0.000248626,-21.15572,-26.06525,36.93500175,22.55100107,0.044000002,0.89954925,0.89025545,0.7045898,0.4838316,0.34828785,0.2656067,0.11429093,0.092036595,0.095103,0.07347091,0.050664225,0.0431976,0.01499368,0.0259536,0.02633895,0.02651335,0.01725514,0.01649886,0.01005694,0.00326378,0.00648236
8/16/2017,0.000248626,-21.14925,-26.07128,36.92700175,22.55900107,0.20400001,1.004148,0.99735385,0.7896265,0.5299108,0.37857375,0.2841374,0.127478345,0.09641929,0.095103,0.0773378,0.05404184,0.0431976,0.01499368,0.0302792,0.023705055,0.02651335,0.0123251,0.01099924,0.00502847,0.00163189,0.00486177
8/26/2017,0.000248626,-21.094,-26.18906,36.95900176,22.53500107,0.146000007,1.24821175,1.2851808,1.13584735,0.9388637,0.7470522,0.7226973,0.426393085,0.39444255,0.42320835,0.34028632,0.273586815,0.2591856,0.07871682,0.1600472,0.165935385,0.17498811,0.13064606,0.14299012,0.10559787,0.04242914,0.06158242
9/5/2017,0.000238681,-21.01381,-26.36853,36.89500175,22.03600105,0.109000005,1.868831,1.96123945,1.822215,1.6070121,1.31743665,1.3403873,0.830807145,0.7888851,0.84166155,0.67283886,0.55392886,0.5363702,0.16118206,0.3200944,0.339772455,0.36058156,0.2711522,0.29147986,0.22628115,0.09301773,0.13126779
9/15/2017,0.000248626,-20.93213,-26.63043,36.89500175,22.03200105,0.102000005,1.8269915,1.9009966,1.7371783,1.4860542,1.1912454,1.2106724,0.74728685,0.71876198,0.760824,0.61096862,0.49988702,0.4895728,0.17992416,0.346048,0.32133519,0.32876554,0.246502,0.26948138,0.19611033,0.07180316,0.11992366
9/25/2017,0.000248626,-20.86997,-26.93499,36.91500175,22.02000105,0.139000007,2.091975,2.2089045,2.065177,1.8374081,1.50924735,1.5689326,0.989056125,0.95542751,1.02235725,0.81978068,0.675523,0.6623632,0.19866626,0.3936296,0.418789305,0.45072695,0.3451028,0.37122435,0.263994675,0.08649017,0.16692077
10/5/2017,0.000248626,-20.83503,-27.34302,36.91000175,22.06700105,0.044000002,1.450436,1.4592157,1.17229165,0.8179058,0.5855274,0.4694444,0.22858186,0.188455885,0.19496115,0.15080871,0.111461295,0.1007944,0.0374842,0.0692096,0.06321348,0.066283375,0.04437036,0.04399696,0.027656585,0.00815945,0.01782649
10/15/2017,0.000248626,-20.86294,-27.79081,36.96700176,23.01500109,0.102000005,1.310971,1.31864905,1.0811809,0.7603068,0.55019385,0.4694444,0.241769275,0.21036936,0.2187369,0.17401005,0.1351046,0.125993,0.04498104,0.0821864,0.07901685,0.082191385,0.05916048,0.06049582,0.04022776,0.00815945,0.02592944
10/25/2017,0.000248626,-20.96377,-28.0844,36.97900176,23.2340011,0.058000003,2.12684125,2.21559815,1.99836245,1.6818908,1.3527702,1.3527411,0.830807145,0.793267795,0.84166155,0.67283886,0.55392886,0.5363702,0.17242732,0.3330712,0.345040245,0.36588423,0.27608224,0.29972929,0.22125268,0.07833072,0.13450897
11/4/2017,0.000238681,-21.02776,-28.1942,36.99600176,23.2080011,0.131000006,1.72239275,1.7805109,1.5549568,1.2498983,0.97419645,0.9512426,0.57145465,0.53468879,0.56586285,0.45242613,0.368160035,0.35998,0.15743364,0.2681872,0.23705055,0.24392282,0.1848765,0.19798632,0.143311395,0.05385237,0.08751186
11/14/2017,0.000248626,-20.99152,-28.21452,37.00600176,24.09800114,0.131000006,2.259333,2.3561648,2.15628775,1.8546878,1.50924735,1.5565788,0.97586871,0.92036595,0.9795609,0.78497867,0.638369235,0.629965,0.2998736,0.4844672,0.41615541,0.426864935,0.32784766,0.35197568,0.258966205,0.10444096,0.15719723
11/24/2017,0.000248626,-20.80768,-28.32122,37.08300176,24.22000115,0.036000002,1.95251,2.008095,1.7371783,1.3593364,1.05495885,1.0068347,0.58903787,0.539071485,0.570618,0.45629302,0.37153765,0.3563802,0.1311947,0.2422336,0.229148865,0.23862015,0.17994646,0.18973689,0.143311395,0.05385237,0.08589127
12/4/2017,0.000248626,-20.62409,-28.39167,37.09100176,24.77800118,0.073000003,2.315119,2.41640765,2.22917635,1.9238066,1.55972385,1.605994,1.00224354,0.94666212,1.0080918,0.80818001,0.66201254,0.6443642,0.36734516,0.562328,0.439860465,0.437470275,0.33524272,0.36022511,0.28662279,0.13381498,0.15881782
12/14/2017,0.000248626,-20.56212,-28.29138,37.13400176,25.2220012,0.051000002,2.26630625,2.3829394,2.19273205,1.8950071,1.54962855,1.5874633,0.98466032,0.92913134,0.9890712,0.79271245,0.651879695,0.6263652,0.42357146,0.5926072,0.43195878,0.4242136,0.3204526,0.34372625,0.29165126,0.163189,0.14909428
12/24/2017,0.000248626,-20.51161,-28.05959,37.08500176,25.09000119,0.088000004,1.8269915,1.8608347,1.5914011,1.2210988,0.9287676,0.8585891,0.487934355,0.451417585,0.475515,0.37508833,0.300607735,0.287984,0.10120734,0.194652,0.18964044,0.19619879,0.14543618,0.15673917,0.108112105,0.0326378,0.06806478
1/3/2018,0.000248626,-20.4359,-27.83306,37.15800176,25.52600121,0.117000006,1.72239275,1.78720455,1.58532705,1.3017374,1.0297206,1.0253654,0.62420431,0.582898435,0.6181695,0.49496192,0.388425725,0.3851786,0.12744628,0.2465592,0.2633895,0.257179495,0.19227156,0.20898556,0.123197515,0.02447835,0.09075304
1/13/2018,0.000238681,-20.28954,-27.52469,37.18900177,26.30200125,0.066000003,1.4085965,1.41236015,1.1176252,0.7430271,0.50981265,0.3891447,0.1758322,0.14024624,0.1426545,0.11213981,0.08106276,0.071996,0.02623894,0.0475816,0.04214232,0.045072695,0.02711522,0.0274981,0.017599645,0.00489567,0.01134413
1/23/2018,0.000258571,-20.08992,-27.1921,37.23600177,26.49600126,0.124000006,1.66660675,1.68010615,1.39095745,1.0195023,0.7571475,0.6671052,0.364851815,0.328702125,0.34712595,0.27454919,0.20941213,0.2051886,0.06372314,0.1340936,0.134328645,0.13786942,0.10106582,0.10724259,0.06034164,0.00979134,0.04537652
2/2/2018,0.000248626,-20.03699,-26.87577,37.23900177,26.42200125,0.263000012,1.29005125,1.3119554,1.0568847,0.7315073,0.51990795,0.4385599,0.224186055,0.19283858,0.1997163,0.16240938,0.118216525,0.1115938,0.04123262,0.0778608,0.071115165,0.07423738,0.05176542,0.0549962,0.032685055,0.00815945,0.02268826
2/12/2018,0.000248626,-19.92543,-26.60799,37.27300177,26.64800127,0.190000009,1.35978375,1.35881095,1.08725495,0.7315073,0.51990795,0.4138523,0.20220703,0.16654241,0.1711854,0.13147426,0.097950835,0.0863952,0.0374842,0.064884,0.055311795,0.055678035,0.03451028,0.03849734,0.022628115,0.00815945,0.01458531
2/22/2018,0.000238681,-19.762,-26.34337,37.30600177,26.92600128,0.109000005,1.44346275,1.4458284,1.13584735,0.7315073,0.49971735,0.370614,0.162644785,0.12271546,0.12838905,0.09667225,0.0675523,0.0575968,0.02623894,0.0389304,0.034240635,0.034467355,0.01972016,0.01924867,0.012571175,0.00326378,0.00810295
3/4/2018,0.000248626,-19.6306,-25.97746,37.29000177,27.2760013,0.044000002,1.4085965,1.43913475,1.19658785,0.8697449,0.64105155,0.5620979,0.29891474,0.25419631,0.27104355,0.20881206,0.158747905,0.1511916,0.04498104,0.0908376,0.092186325,0.09544806,0.06409052,0.06324563,0.03519929,0.00326378,0.0324118
3/14/2018,0.000248626,-19.7158,-25.72278,37.28000177,26.96500128,0.080000004,1.283078,1.2851808,1.0082923,0.6508687,0.4441932,0.3335526,0.14945737,0.11395007,0.1141236,0.09280536,0.064174685,0.053997,0.02249052,0.0389304,0.03160674,0.03181602,0.01972016,0.01924867,0.012571175,0.00489567,0.00810295
3/24/2018,0.000248626,-19.87102,-25.77585,37.42000178,26.92600128,0.080000004,1.49924875,1.5261522,1.28162455,0.9676632,0.7268616,0.6547514,0.364851815,0.32431943,0.3423708,0.27454919,0.219544975,0.2015888,0.10495576,0.1643728,0.13696254,0.135218085,0.0986008,0.10174297,0.077941285,0.03590158,0.04375593
4/3/2018,0.000248626,-20.02231,-26.06898,37.38000178,26.90900128,0.088000004,1.13663975,1.1379205,0.89288535,0.5817499,0.39876435,0.3026681,0.14066576,0.109567375,0.10936845,0.08893847,0.064174685,0.053997,0.0187421,0.0346048,0.034240635,0.034467355,0.01972016,0.02199848,0.012571175,0.00326378,0.00810295
4/13/2018,0.000248626,-20.10602,-26.54209,37.35700177,26.99700128,0.022000001,1.23426525,1.23832525,0.9839961,0.6623885,0.45933615,0.3644371,0.171436395,0.14024624,0.1426545,0.11213981,0.08106276,0.071996,0.02623894,0.0475816,0.04741011,0.045072695,0.03204526,0.03024791,0.017599645,0.00489567,0.01296472
4/23/2018,0.000238681,-20.07389,-27.00442,37.35900177,26.49000126,0.073000003,1.004148,0.99735385,0.7774784,0.5011113,0.3432402,0.2594298,0.109895125,0.083271205,0.08083755,0.06573713,0.043908995,0.035998,0.01499368,0.0259536,0.023705055,0.02121068,0.01479012,0.01099924,0.01005694,0.00326378,0.00324118
5/3/2018,0.000238681,-19.69064,-27.27729,37.34200177,26.26500125,0.029000001,1.2970245,1.33203635,1.13584735,0.8812647,0.6763851,0.6362207,0.36924762,0.34185021,0.36614655,0.29001675,0.226300205,0.2267874,0.06747156,0.129768,0.139596435,0.151126095,0.11339092,0.12374145,0.072912815,0.01305512,0.05672065
5/13/2018,0.000248626,-19.60559,-28.36772,37.37400178,26.25700125,0.84700004,0.920469,0.9103364,0.7167379,0.4665519,0.31800195,0.2347222,0.101103515,0.074505815,0.0760824,0.06187024,0.04053138,0.0323982,0.01499368,0.021628,0.018437265,0.018559345,0.0123251,0.01099924,0.007542705,0.00326378,0.00324118
5/23/2018,0.000248626,-19.53553,-28.94481,37.36400177,26.20600124,0.058000003,2.5522095,2.7042346,2.6604339,2.534356,2.1502989,2.347222,1.52094853,1.4901163,1.5977304,1.28380748,1.00652927,1.0583412,0.26988624,0.5450256,0.63740259,0.72116312,0.55216448,0.59395896,0.32685055,0.0489567,0.26253558
6/12/2018,0.000248626,-18.91894,-29.22771,37.39700178,25.62600122,0.073000003,1.69449975,1.77381725,1.63391945,1.4284552,1.1710548,1.2044955,0.742891045,0.705613895,0.7513137,0.59936795,0.482998945,0.4787734,0.1499368,0.2898152,0.30026403,0.32346287,0.24403698,0.26123195,0.16593951,0.03916536,0.11506189
